timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/19 00:31:49.511, 0, 345 MHz, 2619 MHz, 64.99 W, 0 %, 0 MiB
2026/09/19 00:31:49.617, 0, 345 MHz, 2619 MHz, 64.99 W, 0 %, 0 MiB
2026/09/19 00:31:49.717, 0, 345 MHz, 2619 MHz, 64.99 W, 0 %, 0 MiB
2026/09/19 00:31:49.818, 0, 345 MHz, 2619 MHz, 65.00 W, 0 %, 0 MiB
2026/09/19 00:31:49.918, 0, 345 MHz, 2619 MHz, 64.99 W, 0 %, 0 MiB
2026/09/19 00:31:50.018, 0, 345 MHz, 2619 MHz, 64.98 W, 0 %, 0 MiB
2026/09/19 00:31:50.118, 0, 345 MHz, 2619 MHz, 64.98 W, 0 %, 0 MiB
2026/09/19 00:31:50.218, 0, 345 MHz, 2619 MHz, 64.99 W, 0 %, 0 MiB
2026/09/19 00:31:50.318, 0, 345 MHz, 2619 MHz, 65.00 W, 0 %, 0 MiB
2026/09/19 00:31:50.418, 0, 345 MHz, 2619 MHz, 64.99 W, 0 %, 0 MiB
2026/09/19 00:31:50.519, 0, 345 MHz, 2619 MHz, 64.98 W, 0 %, 0 MiB
2026/09/19 00:31:50.619, 0, 345 MHz, 2619 MHz, 64.98 W, 0 %, 0 MiB
2026/09/19 00:31:50.719, 0, 345 MHz, 2619 MHz, 64.97 W, 0 %, 0 MiB
2026/09/19 00:31:50.819, 0, 345 MHz, 2619 MHz, 64.96 W, 0 %, 0 MiB
2026/09/19 00:31:50.919, 0, 345 MHz, 2619 MHz, 64.96 W, 0 %, 0 MiB
2026/09/19 00:31:51.019, 0, 345 MHz, 2619 MHz, 64.98 W, 0 %, 0 MiB
2026/09/19 00:31:51.120, 0, 345 MHz, 2619 MHz, 64.97 W, 0 %, 0 MiB
2026/09/19 00:31:51.220, 0, 345 MHz, 2619 MHz, 64.96 W, 0 %, 0 MiB
2026/09/19 00:31:51.320, 0, 345 MHz, 2619 MHz, 64.95 W, 0 %, 0 MiB
2026/09/19 00:31:51.420, 0, 345 MHz, 2619 MHz, 64.96 W, 0 %, 0 MiB
2026/09/19 00:31:51.520, 0, 345 MHz, 2619 MHz, 64.96 W, 0 %, 0 MiB
2026/09/19 00:31:51.620, 0, 345 MHz, 2619 MHz, 64.96 W, 0 %, 0 MiB
2026/09/19 00:31:51.720, 0, 345 MHz, 2619 MHz, 64.96 W, 0 %, 0 MiB
2026/09/19 00:31:51.821, 0, 345 MHz, 2619 MHz, 64.98 W, 0 %, 0 MiB
2026/09/19 00:31:51.921, 0, 345 MHz, 2619 MHz, 64.97 W, 0 %, 0 MiB
2026/09/19 00:31:52.021, 0, 345 MHz, 2619 MHz, 64.97 W, 0 %, 0 MiB
2026/09/19 00:31:52.121, 0, 345 MHz, 2619 MHz, 64.96 W, 0 %, 0 MiB
