sample,timestamp,wall_time,phase,agg_nodes,bw_mbps,iops,lat_mean_us,lat_p50_us,lat_p95_us,lat_p99_us,lat_max_us
45,2026-09-13T19:09:50-05:00,899,load_1,1,3819.2,30553,2093.0,2056.2,2474.0,2768.9,4805.1
46,2026-09-13T19:10:10-05:00,919,load_1,1,3765.4,30123,2123.1,2089.0,2506.8,2768.9,4361.5
47,2026-09-13T19:10:31-05:00,940,load_1,1,3778.1,30225,2115.6,2072.6,2506.8,2768.9,3919.5
48,2026-09-13T19:10:51-05:00,960,load_1,1,3780.5,30244,2114.3,2072.6,2506.8,2768.9,3961.1
49,2026-09-13T19:11:12-05:00,981,load_1,1,3749.8,29998,2131.8,2089.0,2506.8,2801.7,3951.5
50,2026-09-13T19:11:32-05:00,1001,load_1,1,3790.2,30321,2108.8,2072.6,2506.8,2768.9,4190.4
51,2026-09-13T19:11:53-05:00,1022,load_1,1,3824.0,30592,2090.3,2056.2,2441.2,2703.4,3904.3
52,2026-09-13T19:12:13-05:00,1042,load_1,1,3778.5,30228,2115.5,2072.6,2506.8,2801.7,3965.5
53,2026-09-13T19:12:33-05:00,1062,load_1,1,3774.6,30197,2117.8,2089.0,2506.8,2768.9,4444.4
54,2026-09-13T19:12:54-05:00,1083,load_1,1,3809.4,30475,2097.8,2056.2,2474.0,2736.1,3986.2
55,2026-09-13T19:13:14-05:00,1103,load_1,1,3808.4,30467,2099.0,2056.2,2506.8,2768.9,3863.4
56,2026-09-13T19:13:35-05:00,1124,load_1,1,3791.2,30329,2108.6,2072.6,2506.8,2768.9,4171.4
57,2026-09-13T19:13:55-05:00,1144,load_1,1,3790.1,30321,2109.0,2072.6,2506.8,2801.7,4094.5
58,2026-09-13T19:14:16-05:00,1165,load_1,1,3813.4,30507,2096.1,2056.2,2474.0,2736.1,4070.8
59,2026-09-13T19:14:36-05:00,1185,load_1,1,3788.0,30304,2110.1,2072.6,2474.0,2736.1,6905.8
60,2026-09-13T19:14:56-05:00,1205,recover_1,1,3813.4,30507,2095.9,2056.2,2474.0,2736.1,6797.5
61,2026-09-13T19:15:17-05:00,1226,recover_1,1,3790.9,30327,2108.4,2072.6,2506.8,2801.7,3876.3
62,2026-09-13T19:15:37-05:00,1246,recover_1,1,3798.6,30389,2104.3,2072.6,2506.8,2768.9,3830.8
63,2026-09-13T19:15:58-05:00,1267,recover_1,1,3774.5,30196,2117.9,2072.6,2506.8,2801.7,3939.9
64,2026-09-13T19:16:18-05:00,1287,recover_1,1,3810.7,30485,2097.4,2056.2,2474.0,2736.1,3834.6
65,2026-09-13T19:16:39-05:00,1308,recover_1,1,3794.3,30355,2106.7,2072.6,2506.8,2768.9,4212.6
66,2026-09-13T19:16:59-05:00,1328,recover_1,1,3753.6,30029,2129.5,2089.0,2539.5,2834.4,4260.7
67,2026-09-13T19:17:19-05:00,1348,recover_1,1,3807.6,30461,2099.4,2056.2,2474.0,2768.9,4027.1
68,2026-09-13T19:17:40-05:00,1369,recover_1,1,3785.4,30283,2111.7,2072.6,2506.8,2768.9,3624.0
69,2026-09-13T19:18:00-05:00,1389,recover_1,1,3799.4,30395,2103.9,2072.6,2474.0,2736.1,3857.6
70,2026-09-13T19:18:21-05:00,1410,recover_1,1,3828.5,30628,2088.0,2056.2,2474.0,2736.1,6224.7
71,2026-09-13T19:18:41-05:00,1430,recover_1,1,3816.4,30531,2094.6,2056.2,2474.0,2736.1,3936.2
72,2026-09-13T19:19:01-05:00,1450,recover_1,1,3801.4,30411,2102.7,2072.6,2506.8,2768.9,4143.1
73,2026-09-13T19:19:22-05:00,1471,recover_1,1,3789.3,30314,2109.3,2072.6,2506.8,2768.9,3986.9
74,2026-09-13T19:19:42-05:00,1491,recover_1,1,3836.7,30694,2083.2,2039.8,2441.2,2736.1,3839.8
75,2026-09-13T19:20:03-05:00,1512,recover_1,1,3793.0,30344,2107.4,2072.6,2506.8,2801.7,4847.1
76,2026-09-13T19:20:23-05:00,1532,recover_1,1,3806.1,30449,2100.1,2056.2,2474.0,2768.9,4175.4
77,2026-09-13T19:20:44-05:00,1553,recover_1,1,3822.9,30583,2091.0,2056.2,2474.0,2768.9,3959.0
78,2026-09-13T19:21:04-05:00,1573,recover_1,1,3707.0,29656,2156.2,2113.5,2539.5,2834.4,10599.1
79,2026-09-13T19:21:24-05:00,1593,recover_1,1,3701.4,29611,2159.5,2113.5,2539.5,2834.4,4110.4
80,2026-09-13T19:21:45-05:00,1614,recover_1,1,3715.5,29724,2151.3,2113.5,2539.5,2834.4,10129.9
81,2026-09-13T19:22:05-05:00,1634,recover_1,1,3810.1,30481,2097.8,2056.2,2474.0,2768.9,4179.8
82,2026-09-13T19:22:26-05:00,1655,recover_1,1,3790.0,30320,2109.0,2072.6,2474.0,2768.9,4178.6
83,2026-09-13T19:22:46-05:00,1675,recover_1,1,3789.4,30315,2109.6,2072.6,2506.8,2768.9,3902.8
84,2026-09-13T19:23:07-05:00,1696,recover_1,1,3761.2,30090,2125.3,2089.0,2539.5,2801.7,4243.6
85,2026-09-13T19:23:27-05:00,1716,recover_1,1,3735.4,29883,2139.9,2113.5,2539.5,2768.9,3863.5
86,2026-09-13T19:23:47-05:00,1736,recover_1,1,3800.9,30407,2103.0,2072.6,2506.8,2768.9,3903.9
87,2026-09-13T19:24:08-05:00,1757,recover_1,1,3814.1,30513,2095.8,2056.2,2474.0,2736.1,4552.5
88,2026-09-13T19:24:28-05:00,1777,recover_1,1,3802.5,30420,2102.0,2072.6,2474.0,2736.1,4184.7
89,2026-09-13T19:24:49-05:00,1798,recover_1,1,3794.0,30352,2106.8,2072.6,2506.8,2801.7,14696.5
90,2026-09-13T19:25:09-05:00,1818,quiet_2,4,3799.3,30395,2103.9,2056.2,2506.8,2801.7,4031.2
91,2026-09-13T19:25:29-05:00,1838,quiet_2,4,3781.2,30250,2114.0,2072.6,2506.8,2801.7,3720.8
92,2026-09-13T19:25:50-05:00,1859,quiet_2,4,3811.9,30495,2096.9,2056.2,2474.0,2736.1,3928.5
93,2026-09-13T19:26:10-05:00,1879,quiet_2,4,3815.9,30527,2094.7,2056.2,2474.0,2736.1,3893.4
94,2026-09-13T19:26:31-05:00,1900,quiet_2,4,3825.1,30601,2089.7,2056.2,2474.0,2736.1,3863.5
95,2026-09-13T19:26:51-05:00,1920,quiet_2,4,3781.3,30251,2114.0,2072.6,2506.8,2801.7,4345.3
96,2026-09-13T19:27:12-05:00,1941,quiet_2,4,3796.0,30368,2105.8,2072.6,2506.8,2736.1,4158.1
97,2026-09-13T19:27:32-05:00,1961,quiet_2,4,3803.7,30429,2101.5,2072.6,2474.0,2768.9,4289.3
98,2026-09-13T19:27:52-05:00,1981,quiet_2,4,3798.5,30388,2104.5,2056.2,2506.8,2801.7,3900.9
