timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/09/12 15:05:30.677, 1, 63.16 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:30.677, 2, 64.53 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:30.677, 3, 63.56 W, 0 %, 0 %, 0 MiB
2026/09/12 15:05:31.677, 0, 62.62 W, 0 %, 0 %, 1 MiB
2026/09/12 15:05:31.883, 1, 63.15 W, 0 %, 0 %, 1 MiB
2026/09/12 15:05:31.883, 2, 64.47 W, 0 %, 0 %, 1 MiB
2026/09/12 15:05:31.883, 3, 63.56 W, 0 %, 0 %, 1 MiB
2026/09/12 15:05:32.883, 0, 62.62 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:32.897, 1, 63.17 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:32.897, 2, 64.53 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:32.897, 3, 63.60 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:33.928, 0, 62.51 W, 4 %, 0 %, 695 MiB
2026/09/12 15:05:33.928, 1, 63.17 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:33.928, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:33.928, 3, 63.59 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:34.928, 0, 62.09 W, 0 %, 0 %, 1939 MiB
2026/09/12 15:05:34.928, 1, 63.15 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:34.928, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:34.928, 3, 63.58 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:35.929, 0, 62.72 W, 17 %, 0 %, 16061 MiB
2026/09/12 15:05:35.929, 1, 63.14 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:35.929, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:35.929, 3, 63.56 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:36.929, 0, 63.03 W, 6 %, 0 %, 16061 MiB
2026/09/12 15:05:36.929, 1, 63.16 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:36.929, 2, 64.53 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:36.929, 3, 63.56 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:37.929, 0, 63.00 W, 0 %, 0 %, 16061 MiB
2026/09/12 15:05:37.929, 1, 63.16 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:37.929, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:37.929, 3, 63.59 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:38.929, 0, 67.07 W, 42 %, 4 %, 18763 MiB
2026/09/12 15:05:38.929, 1, 63.14 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:38.929, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:38.929, 3, 63.56 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:39.930, 0, 173.16 W, 100 %, 10 %, 18763 MiB
2026/09/12 15:05:39.930, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:39.930, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:39.930, 3, 63.57 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:40.930, 0, 104.53 W, 2 %, 0 %, 18763 MiB
2026/09/12 15:05:40.930, 1, 63.14 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:40.930, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:40.930, 3, 63.60 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:41.930, 0, 67.15 W, 0 %, 0 %, 79879 MiB
2026/09/12 15:05:41.930, 1, 63.16 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:41.930, 2, 64.52 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:41.930, 3, 63.55 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:42.930, 0, 62.41 W, 0 %, 0 %, 79879 MiB
2026/09/12 15:05:42.930, 1, 63.15 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:42.930, 2, 64.48 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:42.930, 3, 63.58 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:43.931, 0, 146.04 W, 100 %, 9 %, 81927 MiB
2026/09/12 15:05:43.931, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:43.931, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:43.931, 3, 63.60 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:44.931, 0, 158.77 W, 51 %, 6 %, 82931 MiB
2026/09/12 15:05:44.931, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:44.931, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:44.931, 3, 63.59 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:45.931, 0, 82.86 W, 0 %, 0 %, 82935 MiB
2026/09/12 15:05:45.931, 1, 63.14 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:45.931, 2, 64.52 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:45.931, 3, 63.56 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:46.931, 0, 62.54 W, 0 %, 0 %, 82935 MiB
2026/09/12 15:05:46.931, 1, 63.16 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:46.931, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:46.931, 3, 63.60 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:47.931, 0, 70.95 W, 53 %, 4 %, 82935 MiB
2026/09/12 15:05:47.932, 1, 63.15 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:47.932, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:47.932, 3, 63.57 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:48.932, 0, 181.22 W, 100 %, 7 %, 82935 MiB
2026/09/12 15:05:48.932, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:48.932, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:48.932, 3, 63.54 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:49.932, 0, 178.57 W, 100 %, 4 %, 82935 MiB
2026/09/12 15:05:49.932, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:49.932, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:49.932, 3, 63.59 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:50.932, 0, 171.10 W, 100 %, 4 %, 82935 MiB
2026/09/12 15:05:50.932, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:50.932, 2, 64.48 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:50.932, 3, 63.57 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:51.932, 0, 170.89 W, 100 %, 4 %, 82935 MiB
2026/09/12 15:05:51.932, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:51.932, 2, 64.55 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:51.933, 3, 63.58 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:52.933, 0, 170.14 W, 100 %, 7 %, 82935 MiB
2026/09/12 15:05:52.933, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:52.933, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:52.933, 3, 63.58 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:53.933, 0, 180.81 W, 100 %, 8 %, 82935 MiB
2026/09/12 15:05:53.933, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:53.933, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:53.933, 3, 63.52 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:54.933, 0, 177.38 W, 100 %, 5 %, 82935 MiB
2026/09/12 15:05:54.933, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 15:05:54.933, 2, 64.48 W, 0 %, 0 %, 4 MiB
