timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/09/12 14:11:08.550, 1, 63.10 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:08.550, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:08.550, 3, 63.44 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:09.551, 0, 67.19 W, 51 %, 21 %, 79879 MiB
2026/09/12 14:11:09.551, 1, 63.13 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:09.551, 2, 64.42 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:09.551, 3, 63.45 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:10.551, 0, 62.30 W, 0 %, 0 %, 79879 MiB
2026/09/12 14:11:10.551, 1, 63.15 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:10.551, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:10.551, 3, 63.43 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:11.551, 0, 125.25 W, 100 %, 9 %, 81927 MiB
2026/09/12 14:11:11.551, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:11.551, 2, 64.44 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:11.551, 3, 63.51 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:12.551, 0, 166.17 W, 100 %, 9 %, 81927 MiB
2026/09/12 14:11:12.551, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:12.551, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:12.551, 3, 63.49 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:13.552, 0, 97.05 W, 0 %, 0 %, 82935 MiB
2026/09/12 14:11:13.552, 1, 63.07 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:13.552, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:13.552, 3, 63.44 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:14.552, 0, 62.51 W, 0 %, 0 %, 82935 MiB
2026/09/12 14:11:14.552, 1, 63.15 W, 0 %, 0 %, 4 MiB
2026/09/12 14:11:14.552, 2, 64.43 W, 0 %, 0 %, 4 MiB
