timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/15 20:25:25.995, 0, 345 MHz, 2619 MHz, 63.38 W, 0 %, 0 MiB
2026/09/15 20:25:26.109, 0, 345 MHz, 2619 MHz, 63.38 W, 0 %, 0 MiB
2026/09/15 20:25:26.212, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/15 20:25:26.313, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/15 20:25:26.413, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/15 20:25:26.514, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 0 MiB
2026/09/15 20:25:26.614, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/15 20:25:26.718, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/15 20:25:26.818, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/15 20:25:26.922, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/15 20:25:27.023, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 0 MiB
2026/09/15 20:25:27.123, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/15 20:25:27.223, 0, 345 MHz, 2619 MHz, 63.39 W, 0 %, 0 MiB
2026/09/15 20:25:27.325, 0, 345 MHz, 2619 MHz, 63.34 W, 0 %, 0 MiB
2026/09/15 20:25:27.426, 0, 345 MHz, 2619 MHz, 63.34 W, 0 %, 0 MiB
2026/09/15 20:25:27.526, 0, 345 MHz, 2619 MHz, 63.34 W, 0 %, 0 MiB
2026/09/15 20:25:27.639, 0, 345 MHz, 2619 MHz, 63.34 W, 0 %, 0 MiB
2026/09/15 20:25:27.740, 0, 345 MHz, 2619 MHz, 63.35 W, 0 %, 0 MiB
2026/09/15 20:25:27.841, 0, 345 MHz, 2619 MHz, 63.35 W, 0 %, 0 MiB
2026/09/15 20:25:27.942, 0, 345 MHz, 2619 MHz, 63.37 W, 0 %, 0 MiB
2026/09/15 20:25:28.043, 0, 345 MHz, 2619 MHz, 63.38 W, 0 %, 0 MiB
2026/09/15 20:25:28.144, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/15 20:25:28.245, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/15 20:25:28.346, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 0 MiB
2026/09/15 20:25:28.447, 0, 345 MHz, 2619 MHz, 63.48 W, 0 %, 0 MiB
2026/09/15 20:25:28.548, 0, 345 MHz, 2619 MHz, 63.49 W, 0 %, 0 MiB
2026/09/15 20:25:28.648, 0, 345 MHz, 2619 MHz, 63.48 W, 0 %, 0 MiB
2026/09/15 20:25:28.749, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 0 MiB
2026/09/15 20:25:28.849, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/15 20:25:28.949, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 0 MiB
2026/09/15 20:25:29.050, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/15 20:25:29.150, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/15 20:25:29.250, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/15 20:25:29.350, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/15 20:25:29.451, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/15 20:25:29.551, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/15 20:25:29.651, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/15 20:25:29.752, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/15 20:25:29.852, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/15 20:25:29.952, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/15 20:25:30.053, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/15 20:25:30.153, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/15 20:25:30.253, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/15 20:25:30.354, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/15 20:25:30.454, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/15 20:25:30.554, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/15 20:25:30.654, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/15 20:25:30.755, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/15 20:25:30.855, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/15 20:25:30.955, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/15 20:25:31.056, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/15 20:25:31.156, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/15 20:25:31.256, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/15 20:25:31.357, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/15 20:25:31.457, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/15 20:25:31.557, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/15 20:25:31.658, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 0 MiB
2026/09/15 20:25:31.758, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/15 20:25:31.858, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/15 20:25:31.959, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/15 20:25:32.059, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/15 20:25:32.159, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/15 20:25:32.260, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/15 20:25:32.360, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/15 20:25:32.460, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/15 20:25:32.560, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/15 20:25:32.661, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/15 20:25:32.761, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/15 20:25:32.861, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/15 20:25:32.961, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/15 20:25:33.062, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/15 20:25:33.162, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 0 MiB
2026/09/15 20:25:33.262, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/15 20:25:33.363, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/15 20:25:33.463, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 0 MiB
2026/09/15 20:25:33.563, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/15 20:25:33.664, 0, 345 MHz, 2619 MHz, 63.47 W, 0 %, 0 MiB
2026/09/15 20:25:33.764, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 0 MiB
2026/09/15 20:25:33.864, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 0 MiB
2026/09/15 20:25:33.965, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/15 20:25:34.065, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 1 MiB
2026/09/15 20:25:34.248, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 4 MiB
2026/09/15 20:25:34.377, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 4 MiB
2026/09/15 20:25:34.477, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 4 MiB
2026/09/15 20:25:34.577, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 4 MiB
2026/09/15 20:25:34.678, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 4 MiB
2026/09/15 20:25:34.778, 0, 1785 MHz, 2619 MHz, 64.55 W, 0 %, 23 MiB
2026/09/15 20:25:34.879, 0, 1785 MHz, 2619 MHz, 67.63 W, 0 %, 595 MiB
2026/09/15 20:25:34.979, 0, 1785 MHz, 2619 MHz, 70.48 W, 0 %, 595 MiB
2026/09/15 20:25:35.079, 0, 1785 MHz, 2619 MHz, 73.51 W, 0 %, 595 MiB
2026/09/15 20:25:35.180, 0, 1785 MHz, 2619 MHz, 76.18 W, 0 %, 693 MiB
2026/09/15 20:25:35.280, 0, 1785 MHz, 2619 MHz, 79.31 W, 1 %, 693 MiB
2026/09/15 20:25:35.380, 0, 1785 MHz, 2619 MHz, 81.79 W, 1 %, 693 MiB
2026/09/15 20:25:35.480, 0, 1785 MHz, 2619 MHz, 85.03 W, 0 %, 1775 MiB
2026/09/15 20:25:35.581, 0, 1785 MHz, 2619 MHz, 87.90 W, 0 %, 1937 MiB
2026/09/15 20:25:35.681, 0, 1785 MHz, 2619 MHz, 90.28 W, 1 %, 1937 MiB
2026/09/15 20:25:35.781, 0, 1785 MHz, 2619 MHz, 92.67 W, 1 %, 1937 MiB
2026/09/15 20:25:35.881, 0, 1785 MHz, 2619 MHz, 92.35 W, 0 %, 1937 MiB
2026/09/15 20:25:35.982, 0, 1785 MHz, 2619 MHz, 92.33 W, 0 %, 1937 MiB
2026/09/15 20:25:36.082, 0, 1785 MHz, 2619 MHz, 92.31 W, 0 %, 1937 MiB
2026/09/15 20:25:36.182, 0, 1785 MHz, 2619 MHz, 92.22 W, 0 %, 1937 MiB
2026/09/15 20:25:36.283, 0, 1785 MHz, 2619 MHz, 92.21 W, 0 %, 1937 MiB
2026/09/15 20:25:36.383, 0, 1785 MHz, 2619 MHz, 92.25 W, 0 %, 1937 MiB
2026/09/15 20:25:36.483, 0, 1785 MHz, 2619 MHz, 92.28 W, 0 %, 1937 MiB
2026/09/15 20:25:36.583, 0, 1785 MHz, 2619 MHz, 92.28 W, 0 %, 1937 MiB
2026/09/15 20:25:36.684, 0, 1785 MHz, 2619 MHz, 92.23 W, 0 %, 1937 MiB
2026/09/15 20:25:36.784, 0, 1785 MHz, 2619 MHz, 92.21 W, 0 %, 1937 MiB
2026/09/15 20:25:36.884, 0, 1785 MHz, 2619 MHz, 92.24 W, 0 %, 16059 MiB
2026/09/15 20:25:36.984, 0, 1785 MHz, 2619 MHz, 92.24 W, 0 %, 16059 MiB
2026/09/15 20:25:37.085, 0, 1785 MHz, 2619 MHz, 92.27 W, 0 %, 16059 MiB
2026/09/15 20:25:37.185, 0, 1785 MHz, 2619 MHz, 92.30 W, 0 %, 16059 MiB
2026/09/15 20:25:37.285, 0, 1785 MHz, 2619 MHz, 92.30 W, 0 %, 16059 MiB
2026/09/15 20:25:37.386, 0, 1785 MHz, 2619 MHz, 92.32 W, 0 %, 16059 MiB
2026/09/15 20:25:37.486, 0, 1785 MHz, 2619 MHz, 92.33 W, 2 %, 16059 MiB
2026/09/15 20:25:37.586, 0, 1785 MHz, 2619 MHz, 92.35 W, 2 %, 16059 MiB
2026/09/15 20:25:37.686, 0, 1785 MHz, 2619 MHz, 92.33 W, 2 %, 16059 MiB
2026/09/15 20:25:37.787, 0, 1785 MHz, 2619 MHz, 92.34 W, 2 %, 16059 MiB
2026/09/15 20:25:37.887, 0, 1785 MHz, 2619 MHz, 92.32 W, 2 %, 16059 MiB
2026/09/15 20:25:37.987, 0, 1785 MHz, 2619 MHz, 92.31 W, 2 %, 16059 MiB
2026/09/15 20:25:38.088, 0, 1785 MHz, 2619 MHz, 92.31 W, 2 %, 16059 MiB
