timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/16 00:30:32.882, 0, 345 MHz, 2619 MHz, 63.25 W, 0 %, 1 MiB
2026/09/16 00:30:33.161, 0, 345 MHz, 2619 MHz, 63.31 W, 0 %, 4 MiB
2026/09/16 00:30:33.362, 0, 345 MHz, 2619 MHz, 63.30 W, 0 %, 4 MiB
2026/09/16 00:30:33.562, 0, 345 MHz, 2619 MHz, 63.30 W, 0 %, 23 MiB
2026/09/16 00:30:33.763, 0, 1785 MHz, 2619 MHz, 70.32 W, 0 %, 595 MiB
2026/09/16 00:30:33.963, 0, 1785 MHz, 2619 MHz, 75.82 W, 0 %, 693 MiB
2026/09/16 00:30:34.163, 0, 1785 MHz, 2619 MHz, 81.42 W, 1 %, 693 MiB
2026/09/16 00:30:34.363, 0, 1785 MHz, 2619 MHz, 87.58 W, 0 %, 1937 MiB
2026/09/16 00:30:34.563, 0, 1785 MHz, 2619 MHz, 92.33 W, 1 %, 1937 MiB
2026/09/16 00:30:34.764, 0, 1785 MHz, 2619 MHz, 92.11 W, 0 %, 1937 MiB
2026/09/16 00:30:34.964, 0, 1785 MHz, 2619 MHz, 92.09 W, 0 %, 1937 MiB
2026/09/16 00:30:35.164, 0, 1785 MHz, 2619 MHz, 92.09 W, 0 %, 1937 MiB
2026/09/16 00:30:35.364, 0, 1785 MHz, 2619 MHz, 92.10 W, 0 %, 1937 MiB
2026/09/16 00:30:35.564, 0, 1785 MHz, 2619 MHz, 92.10 W, 0 %, 16059 MiB
2026/09/16 00:30:35.765, 0, 1785 MHz, 2619 MHz, 92.08 W, 0 %, 16059 MiB
2026/09/16 00:30:35.965, 0, 1785 MHz, 2619 MHz, 92.10 W, 0 %, 16059 MiB
2026/09/16 00:30:36.165, 0, 1785 MHz, 2619 MHz, 92.10 W, 1 %, 16059 MiB
2026/09/16 00:30:36.365, 0, 1785 MHz, 2619 MHz, 92.22 W, 2 %, 16059 MiB
2026/09/16 00:30:36.566, 0, 1785 MHz, 2619 MHz, 92.37 W, 13 %, 16059 MiB
2026/09/16 00:30:36.766, 0, 1785 MHz, 2619 MHz, 92.44 W, 4 %, 16059 MiB
2026/09/16 00:30:36.966, 0, 1785 MHz, 2619 MHz, 92.45 W, 2 %, 16059 MiB
2026/09/16 00:30:37.166, 0, 1785 MHz, 2619 MHz, 92.54 W, 2 %, 16059 MiB
2026/09/16 00:30:37.367, 0, 1785 MHz, 2619 MHz, 92.49 W, 5 %, 16059 MiB
2026/09/16 00:30:37.567, 0, 1785 MHz, 2619 MHz, 92.37 W, 4 %, 16059 MiB
2026/09/16 00:30:37.767, 0, 1785 MHz, 2619 MHz, 92.41 W, 6 %, 16059 MiB
2026/09/16 00:30:37.967, 0, 1785 MHz, 2619 MHz, 92.48 W, 10 %, 16059 MiB
2026/09/16 00:30:38.167, 0, 1785 MHz, 2619 MHz, 92.64 W, 11 %, 16059 MiB
2026/09/16 00:30:38.368, 0, 1785 MHz, 2619 MHz, 92.80 W, 15 %, 16059 MiB
2026/09/16 00:30:38.568, 0, 1785 MHz, 2619 MHz, 92.98 W, 14 %, 16059 MiB
2026/09/16 00:30:38.768, 0, 1785 MHz, 2619 MHz, 93.01 W, 13 %, 16059 MiB
2026/09/16 00:30:38.968, 0, 1785 MHz, 2619 MHz, 93.17 W, 10 %, 16059 MiB
2026/09/16 00:30:39.168, 0, 1785 MHz, 2619 MHz, 93.17 W, 15 %, 16059 MiB
2026/09/16 00:30:39.368, 0, 1785 MHz, 2619 MHz, 93.16 W, 15 %, 16059 MiB
2026/09/16 00:30:39.568, 0, 1785 MHz, 2619 MHz, 93.05 W, 13 %, 16059 MiB
2026/09/16 00:30:39.768, 0, 1785 MHz, 2619 MHz, 93.10 W, 11 %, 16059 MiB
2026/09/16 00:30:39.969, 0, 1785 MHz, 2619 MHz, 92.87 W, 0 %, 16059 MiB
2026/09/16 00:30:40.169, 0, 1785 MHz, 2619 MHz, 92.64 W, 0 %, 16059 MiB
2026/09/16 00:30:40.369, 0, 1785 MHz, 2619 MHz, 92.49 W, 0 %, 16615 MiB
2026/09/16 00:30:40.570, 0, 1785 MHz, 2619 MHz, 92.51 W, 0 %, 16615 MiB
2026/09/16 00:30:40.770, 0, 1785 MHz, 2619 MHz, 92.38 W, 0 %, 17161 MiB
2026/09/16 00:30:40.970, 0, 1185 MHz, 2619 MHz, 142.76 W, 0 %, 18761 MiB
2026/09/16 00:30:41.171, 0, 1170 MHz, 2619 MHz, 208.82 W, 100 %, 18761 MiB
2026/09/16 00:30:41.371, 0, 1740 MHz, 2619 MHz, 243.82 W, 100 %, 18761 MiB
2026/09/16 00:30:41.571, 0, 1770 MHz, 2619 MHz, 243.64 W, 0 %, 18761 MiB
2026/09/16 00:30:41.771, 0, 1785 MHz, 2619 MHz, 243.58 W, 0 %, 18761 MiB
2026/09/16 00:30:41.972, 0, 1785 MHz, 2619 MHz, 198.36 W, 0 %, 18761 MiB
2026/09/16 00:30:42.172, 0, 1785 MHz, 2619 MHz, 133.61 W, 0 %, 18761 MiB
2026/09/16 00:30:42.372, 0, 1785 MHz, 2619 MHz, 92.46 W, 0 %, 18761 MiB
