timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/15 20:55:27.085, 0, 345 MHz, 2619 MHz, 61.58 W, 0 %, 0 MiB
2026/09/15 20:55:27.185, 0, 345 MHz, 2619 MHz, 61.59 W, 0 %, 0 MiB
2026/09/15 20:55:27.285, 0, 345 MHz, 2619 MHz, 61.59 W, 0 %, 0 MiB
2026/09/15 20:55:27.386, 0, 345 MHz, 2619 MHz, 61.59 W, 0 %, 1 MiB
2026/09/15 20:55:27.503, 0, 345 MHz, 2619 MHz, 61.59 W, 0 %, 1 MiB
2026/09/15 20:55:27.650, 0, 345 MHz, 2619 MHz, 61.64 W, 0 %, 4 MiB
2026/09/15 20:55:27.750, 0, 345 MHz, 2619 MHz, 61.64 W, 0 %, 4 MiB
2026/09/15 20:55:27.851, 0, 345 MHz, 2619 MHz, 61.65 W, 0 %, 4 MiB
2026/09/15 20:55:27.951, 0, 345 MHz, 2619 MHz, 61.65 W, 0 %, 4 MiB
2026/09/15 20:55:28.051, 0, 1785 MHz, 2619 MHz, 61.65 W, 0 %, 23 MiB
2026/09/15 20:55:28.151, 0, 1785 MHz, 2619 MHz, 66.51 W, 0 %, 595 MiB
2026/09/15 20:55:28.251, 0, 1785 MHz, 2619 MHz, 69.32 W, 3 %, 595 MiB
2026/09/15 20:55:28.351, 0, 1785 MHz, 2619 MHz, 71.85 W, 3 %, 595 MiB
2026/09/15 20:55:28.451, 0, 1785 MHz, 2619 MHz, 74.82 W, 1 %, 693 MiB
2026/09/15 20:55:28.552, 0, 1785 MHz, 2619 MHz, 77.25 W, 1 %, 693 MiB
2026/09/15 20:55:28.652, 0, 1785 MHz, 2619 MHz, 79.94 W, 0 %, 693 MiB
2026/09/15 20:55:28.752, 0, 1785 MHz, 2619 MHz, 82.63 W, 0 %, 1775 MiB
2026/09/15 20:55:28.852, 0, 1785 MHz, 2619 MHz, 85.38 W, 0 %, 1937 MiB
2026/09/15 20:55:28.952, 0, 1785 MHz, 2619 MHz, 88.09 W, 0 %, 1937 MiB
2026/09/15 20:55:29.053, 0, 1785 MHz, 2619 MHz, 89.22 W, 0 %, 1937 MiB
2026/09/15 20:55:29.153, 0, 1785 MHz, 2619 MHz, 89.13 W, 0 %, 1937 MiB
2026/09/15 20:55:29.253, 0, 1785 MHz, 2619 MHz, 89.18 W, 0 %, 1937 MiB
2026/09/15 20:55:29.353, 0, 1785 MHz, 2619 MHz, 89.19 W, 0 %, 1937 MiB
2026/09/15 20:55:29.453, 0, 1785 MHz, 2619 MHz, 89.16 W, 0 %, 1937 MiB
2026/09/15 20:55:29.553, 0, 1785 MHz, 2619 MHz, 89.16 W, 0 %, 1937 MiB
2026/09/15 20:55:29.654, 0, 1785 MHz, 2619 MHz, 89.16 W, 0 %, 1937 MiB
2026/09/15 20:55:29.754, 0, 1785 MHz, 2619 MHz, 89.15 W, 0 %, 1937 MiB
2026/09/15 20:55:29.854, 0, 1785 MHz, 2619 MHz, 89.10 W, 0 %, 1937 MiB
2026/09/15 20:55:29.954, 0, 1785 MHz, 2619 MHz, 89.08 W, 0 %, 1937 MiB
2026/09/15 20:55:30.054, 0, 1785 MHz, 2619 MHz, 89.10 W, 0 %, 1937 MiB
2026/09/15 20:55:30.154, 0, 1785 MHz, 2619 MHz, 89.11 W, 0 %, 1937 MiB
2026/09/15 20:55:30.254, 0, 1785 MHz, 2619 MHz, 89.11 W, 0 %, 1937 MiB
2026/09/15 20:55:30.354, 0, 1785 MHz, 2619 MHz, 89.11 W, 0 %, 13809 MiB
2026/09/15 20:55:30.455, 0, 1785 MHz, 2619 MHz, 89.12 W, 1 %, 16059 MiB
2026/09/15 20:55:30.555, 0, 1785 MHz, 2619 MHz, 89.11 W, 1 %, 16059 MiB
2026/09/15 20:55:30.655, 0, 1785 MHz, 2619 MHz, 89.12 W, 0 %, 16059 MiB
2026/09/15 20:55:30.755, 0, 1785 MHz, 2619 MHz, 89.13 W, 0 %, 16059 MiB
2026/09/15 20:55:30.855, 0, 1785 MHz, 2619 MHz, 89.14 W, 0 %, 16059 MiB
2026/09/15 20:55:30.955, 0, 1785 MHz, 2619 MHz, 89.13 W, 0 %, 16059 MiB
2026/09/15 20:55:31.056, 0, 1785 MHz, 2619 MHz, 89.15 W, 2 %, 16059 MiB
2026/09/15 20:55:31.156, 0, 1785 MHz, 2619 MHz, 89.14 W, 2 %, 16059 MiB
2026/09/15 20:55:31.256, 0, 1785 MHz, 2619 MHz, 89.17 W, 2 %, 16059 MiB
2026/09/15 20:55:31.356, 0, 1785 MHz, 2619 MHz, 89.18 W, 2 %, 16059 MiB
2026/09/15 20:55:31.457, 0, 1785 MHz, 2619 MHz, 89.19 W, 2 %, 16059 MiB
2026/09/15 20:55:31.557, 0, 1785 MHz, 2619 MHz, 89.19 W, 2 %, 16059 MiB
2026/09/15 20:55:31.657, 0, 1785 MHz, 2619 MHz, 89.19 W, 2 %, 16059 MiB
2026/09/15 20:55:31.758, 0, 1785 MHz, 2619 MHz, 89.19 W, 2 %, 16059 MiB
2026/09/15 20:55:31.858, 0, 1785 MHz, 2619 MHz, 89.21 W, 2 %, 16059 MiB
2026/09/15 20:55:31.958, 0, 1785 MHz, 2619 MHz, 89.28 W, 2 %, 16059 MiB
2026/09/15 20:55:32.058, 0, 1785 MHz, 2619 MHz, 89.31 W, 13 %, 16059 MiB
2026/09/15 20:55:32.159, 0, 1785 MHz, 2619 MHz, 89.31 W, 13 %, 16059 MiB
2026/09/15 20:55:32.259, 0, 1785 MHz, 2619 MHz, 89.29 W, 2 %, 16059 MiB
2026/09/15 20:55:32.359, 0, 1785 MHz, 2619 MHz, 89.28 W, 2 %, 16059 MiB
2026/09/15 20:55:32.459, 0, 1785 MHz, 2619 MHz, 89.28 W, 2 %, 16059 MiB
2026/09/15 20:55:32.559, 0, 1785 MHz, 2619 MHz, 89.27 W, 2 %, 16059 MiB
