timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/24 19:40:43.711, 0, 1785 MHz, 2619 MHz, 100.39 W, 0 %, 0 MiB
2026/09/24 19:40:43.716, 1, 345 MHz, 2619 MHz, 60.65 W, 0 %, 0 MiB
2026/09/24 19:40:43.721, 2, 345 MHz, 2619 MHz, 64.62 W, 0 %, 0 MiB
2026/09/24 19:40:43.728, 3, 345 MHz, 2619 MHz, 64.13 W, 0 %, 0 MiB
2026/09/24 19:40:43.838, 0, 1785 MHz, 2619 MHz, 100.32 W, 0 %, 0 MiB
2026/09/24 19:40:43.838, 1, 345 MHz, 2619 MHz, 60.67 W, 0 %, 0 MiB
2026/09/24 19:40:43.838, 2, 345 MHz, 2619 MHz, 64.62 W, 0 %, 0 MiB
2026/09/24 19:40:43.838, 3, 345 MHz, 2619 MHz, 64.13 W, 0 %, 0 MiB
2026/09/24 19:40:43.938, 0, 1785 MHz, 2619 MHz, 100.38 W, 0 %, 0 MiB
2026/09/24 19:40:43.939, 1, 345 MHz, 2619 MHz, 60.65 W, 0 %, 0 MiB
2026/09/24 19:40:43.939, 2, 345 MHz, 2619 MHz, 64.62 W, 0 %, 0 MiB
2026/09/24 19:40:43.939, 3, 345 MHz, 2619 MHz, 64.12 W, 0 %, 0 MiB
2026/09/24 19:40:44.039, 0, 1785 MHz, 2619 MHz, 100.29 W, 0 %, 0 MiB
2026/09/24 19:40:44.039, 1, 345 MHz, 2619 MHz, 60.65 W, 0 %, 0 MiB
2026/09/24 19:40:44.039, 2, 345 MHz, 2619 MHz, 64.61 W, 0 %, 0 MiB
2026/09/24 19:40:44.039, 3, 345 MHz, 2619 MHz, 64.13 W, 0 %, 0 MiB
2026/09/24 19:40:44.139, 0, 1785 MHz, 2619 MHz, 100.32 W, 0 %, 0 MiB
2026/09/24 19:40:44.139, 1, 345 MHz, 2619 MHz, 60.66 W, 0 %, 0 MiB
2026/09/24 19:40:44.139, 2, 345 MHz, 2619 MHz, 64.60 W, 0 %, 0 MiB
2026/09/24 19:40:44.139, 3, 345 MHz, 2619 MHz, 64.13 W, 0 %, 0 MiB
2026/09/24 19:40:44.239, 0, 1785 MHz, 2619 MHz, 100.24 W, 0 %, 0 MiB
2026/09/24 19:40:44.239, 1, 345 MHz, 2619 MHz, 60.64 W, 0 %, 0 MiB
2026/09/24 19:40:44.239, 2, 345 MHz, 2619 MHz, 64.60 W, 0 %, 0 MiB
2026/09/24 19:40:44.239, 3, 345 MHz, 2619 MHz, 64.13 W, 0 %, 0 MiB
2026/09/24 19:40:44.339, 0, 1785 MHz, 2619 MHz, 100.25 W, 0 %, 0 MiB
2026/09/24 19:40:44.340, 1, 345 MHz, 2619 MHz, 60.65 W, 0 %, 0 MiB
2026/09/24 19:40:44.340, 2, 345 MHz, 2619 MHz, 64.61 W, 0 %, 0 MiB
2026/09/24 19:40:44.340, 3, 345 MHz, 2619 MHz, 64.14 W, 0 %, 0 MiB
2026/09/24 19:40:44.440, 0, 1785 MHz, 2619 MHz, 100.20 W, 0 %, 0 MiB
2026/09/24 19:40:44.440, 1, 345 MHz, 2619 MHz, 60.65 W, 0 %, 0 MiB
2026/09/24 19:40:44.440, 2, 345 MHz, 2619 MHz, 64.59 W, 0 %, 0 MiB
2026/09/24 19:40:44.440, 3, 345 MHz, 2619 MHz, 64.14 W, 0 %, 0 MiB
2026/09/24 19:40:44.540, 0, 1785 MHz, 2619 MHz, 100.24 W, 0 %, 0 MiB
2026/09/24 19:40:44.540, 1, 345 MHz, 2619 MHz, 60.64 W, 0 %, 0 MiB
2026/09/24 19:40:44.540, 2, 345 MHz, 2619 MHz, 64.59 W, 0 %, 0 MiB
2026/09/24 19:40:44.540, 3, 345 MHz, 2619 MHz, 64.14 W, 0 %, 0 MiB
2026/09/24 19:40:44.640, 0, 1785 MHz, 2619 MHz, 100.16 W, 0 %, 0 MiB
2026/09/24 19:40:44.640, 1, 345 MHz, 2619 MHz, 60.65 W, 0 %, 0 MiB
2026/09/24 19:40:44.640, 2, 345 MHz, 2619 MHz, 64.60 W, 0 %, 0 MiB
2026/09/24 19:40:44.640, 3, 345 MHz, 2619 MHz, 64.14 W, 0 %, 0 MiB
2026/09/24 19:40:44.740, 0, 1785 MHz, 2619 MHz, 100.14 W, 0 %, 0 MiB
2026/09/24 19:40:44.740, 1, 345 MHz, 2619 MHz, 60.65 W, 0 %, 0 MiB
2026/09/24 19:40:44.741, 2, 345 MHz, 2619 MHz, 64.60 W, 0 %, 0 MiB
2026/09/24 19:40:44.741, 3, 345 MHz, 2619 MHz, 64.13 W, 0 %, 0 MiB
2026/09/24 19:40:44.841, 0, 1785 MHz, 2619 MHz, 100.10 W, 0 %, 0 MiB
2026/09/24 19:40:44.841, 1, 345 MHz, 2619 MHz, 60.64 W, 0 %, 0 MiB
2026/09/24 19:40:44.841, 2, 345 MHz, 2619 MHz, 64.59 W, 0 %, 0 MiB
2026/09/24 19:40:44.841, 3, 345 MHz, 2619 MHz, 64.12 W, 0 %, 0 MiB
2026/09/24 19:40:44.941, 0, 1785 MHz, 2619 MHz, 100.10 W, 0 %, 0 MiB
2026/09/24 19:40:44.941, 1, 345 MHz, 2619 MHz, 60.67 W, 0 %, 0 MiB
