timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/18 17:46:12.156, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/18 17:46:12.256, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/18 17:46:12.356, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/18 17:46:12.456, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/18 17:46:12.557, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/18 17:46:12.657, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/18 17:46:12.757, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/18 17:46:12.857, 0, 345 MHz, 2619 MHz, 63.44 W, 0 %, 0 MiB
2026/09/18 17:46:12.957, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/18 17:46:13.057, 0, 345 MHz, 2619 MHz, 63.42 W, 0 %, 0 MiB
2026/09/18 17:46:13.157, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 17:46:13.258, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 17:46:13.358, 0, 345 MHz, 2619 MHz, 63.40 W, 0 %, 0 MiB
2026/09/18 17:46:13.458, 0, 345 MHz, 2619 MHz, 63.38 W, 0 %, 0 MiB
2026/09/18 17:46:13.558, 0, 345 MHz, 2619 MHz, 63.37 W, 0 %, 0 MiB
2026/09/18 17:46:13.658, 0, 345 MHz, 2619 MHz, 63.37 W, 0 %, 0 MiB
2026/09/18 17:46:13.758, 0, 345 MHz, 2619 MHz, 63.37 W, 0 %, 0 MiB
2026/09/18 17:46:13.858, 0, 345 MHz, 2619 MHz, 63.38 W, 0 %, 0 MiB
2026/09/18 17:46:13.958, 0, 345 MHz, 2619 MHz, 63.41 W, 0 %, 0 MiB
2026/09/18 17:46:14.059, 0, 345 MHz, 2619 MHz, 63.43 W, 0 %, 0 MiB
2026/09/18 17:46:14.159, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/18 17:46:14.259, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
2026/09/18 17:46:14.359, 0, 345 MHz, 2619 MHz, 63.45 W, 0 %, 0 MiB
2026/09/18 17:46:14.459, 0, 345 MHz, 2619 MHz, 63.46 W, 0 %, 0 MiB
