timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/24 19:53:29.153, 0, 1785 MHz, 2619 MHz, 96.60 W, 0 %, 0 MiB
2026/09/24 19:53:29.156, 1, 345 MHz, 2619 MHz, 65.01 W, 0 %, 0 MiB
2026/09/24 19:53:29.160, 2, 345 MHz, 2619 MHz, 63.07 W, 0 %, 0 MiB
2026/09/24 19:53:29.164, 3, 345 MHz, 2619 MHz, 61.11 W, 0 %, 0 MiB
2026/09/24 19:53:29.272, 0, 1785 MHz, 2619 MHz, 96.60 W, 0 %, 0 MiB
2026/09/24 19:53:29.272, 1, 345 MHz, 2619 MHz, 65.01 W, 0 %, 0 MiB
2026/09/24 19:53:29.272, 2, 345 MHz, 2619 MHz, 63.07 W, 0 %, 0 MiB
2026/09/24 19:53:29.272, 3, 345 MHz, 2619 MHz, 61.11 W, 0 %, 0 MiB
2026/09/24 19:53:29.372, 0, 1785 MHz, 2619 MHz, 96.53 W, 0 %, 0 MiB
2026/09/24 19:53:29.372, 1, 345 MHz, 2619 MHz, 65.00 W, 0 %, 0 MiB
2026/09/24 19:53:29.372, 2, 345 MHz, 2619 MHz, 63.06 W, 0 %, 0 MiB
2026/09/24 19:53:29.372, 3, 345 MHz, 2619 MHz, 61.11 W, 0 %, 0 MiB
2026/09/24 19:53:29.472, 0, 1785 MHz, 2619 MHz, 96.50 W, 0 %, 0 MiB
2026/09/24 19:53:29.472, 1, 345 MHz, 2619 MHz, 65.01 W, 0 %, 0 MiB
2026/09/24 19:53:29.472, 2, 345 MHz, 2619 MHz, 63.06 W, 0 %, 0 MiB
2026/09/24 19:53:29.472, 3, 345 MHz, 2619 MHz, 61.12 W, 0 %, 0 MiB
2026/09/24 19:53:29.572, 0, 1785 MHz, 2619 MHz, 96.43 W, 0 %, 0 MiB
2026/09/24 19:53:29.572, 1, 345 MHz, 2619 MHz, 65.02 W, 0 %, 0 MiB
2026/09/24 19:53:29.572, 2, 345 MHz, 2619 MHz, 63.07 W, 0 %, 0 MiB
