sample,timestamp,wall_time,bw_mbps,iops,lat_mean_us,lat_p50_us,lat_p95_us,lat_p99_us,lat_max_us
58,2026-09-13T16:37:31-05:00,1164,2594.9,20759,3081.3,2998.3,3653.6,4292.6,6983.4
59,2026-09-13T16:37:51-05:00,1184,2592.5,20740,3084.3,2998.3,3653.6,4358.1,7903.5
60,2026-09-13T16:38:12-05:00,1205,2594.2,20753,3082.2,2998.3,3620.9,4145.2,7029.6
61,2026-09-13T16:38:32-05:00,1225,2581.7,20654,3097.1,3031.0,3653.6,4177.9,6930.7
62,2026-09-13T16:38:52-05:00,1245,2572.4,20579,3108.4,3031.0,3686.4,4358.1,6880.5
63,2026-09-13T16:39:13-05:00,1266,2579.9,20639,3099.3,3031.0,3653.6,4227.1,7302.6
64,2026-09-13T16:39:33-05:00,1286,2585.8,20686,3092.2,2998.3,3620.9,4177.9,6731.1
65,2026-09-13T16:39:54-05:00,1307,2570.1,20561,3110.9,3031.0,3653.6,4227.1,7255.4
66,2026-09-13T16:40:14-05:00,1327,2562.4,20499,3120.5,3031.0,3686.4,4227.1,7982.8
67,2026-09-13T16:40:35-05:00,1348,2592.3,20739,3084.6,2998.3,3620.9,4014.1,6710.2
68,2026-09-13T16:40:55-05:00,1368,2578.0,20624,3101.6,3031.0,3653.6,4292.6,6952.9
69,2026-09-13T16:41:15-05:00,1388,2571.3,20570,3109.6,3031.0,3686.4,4358.1,6731.8
70,2026-09-13T16:41:36-05:00,1409,2580.9,20647,3098.0,2998.3,3686.4,4227.1,7950.8
71,2026-09-13T16:41:56-05:00,1429,2586.5,20692,3091.3,3031.0,3653.6,4177.9,6565.5
72,2026-09-13T16:42:17-05:00,1450,2582.8,20663,3095.7,2998.3,3653.6,4227.1,6559.6
73,2026-09-13T16:42:37-05:00,1470,2578.9,20631,3100.6,3031.0,3686.4,4358.1,7208.4
74,2026-09-13T16:42:58-05:00,1491,2586.5,20692,3091.4,2998.3,3653.6,4227.1,6810.0
75,2026-09-13T16:43:18-05:00,1511,2591.1,20729,3085.8,2998.3,3653.6,4177.9,10277.3
76,2026-09-13T16:43:38-05:00,1531,2555.4,20443,3129.1,3063.8,3719.2,4177.9,7152.7
77,2026-09-13T16:43:59-05:00,1552,2506.9,20055,3189.5,3096.6,3784.7,4358.1,7898.3
78,2026-09-13T16:44:19-05:00,1572,2555.9,20447,3128.4,3063.8,3719.2,4145.2,8454.0
79,2026-09-13T16:44:40-05:00,1593,2591.3,20731,3085.6,2998.3,3620.9,4112.4,6359.5
80,2026-09-13T16:45:00-05:00,1613,2588.0,20704,3089.6,2998.3,3653.6,4079.6,6739.0
81,2026-09-13T16:45:20-05:00,1633,2590.9,20727,3086.1,2998.3,3653.6,4112.4,6664.4
82,2026-09-13T16:45:41-05:00,1654,2603.0,20824,3071.9,2998.3,3588.1,4014.1,6254.9
83,2026-09-13T16:46:01-05:00,1674,2585.5,20684,3092.6,3031.0,3653.6,4014.1,8205.2
84,2026-09-13T16:46:22-05:00,1695,2587.2,20698,3090.6,3031.0,3620.9,4046.8,6575.4
85,2026-09-13T16:46:42-05:00,1715,2577.3,20618,3102.3,3031.0,3653.6,4227.1,8388.6
86,2026-09-13T16:47:03-05:00,1736,2600.7,20806,3074.6,2998.3,3620.9,4145.2,6623.1
87,2026-09-13T16:47:23-05:00,1756,2599.2,20794,3076.3,2998.3,3620.9,4112.4,7338.7
88,2026-09-13T16:47:43-05:00,1776,2588.8,20710,3088.6,2998.3,3620.9,4145.2,6730.0
89,2026-09-13T16:48:04-05:00,1797,2594.9,20759,3081.4,2998.3,3620.9,4227.1,6834.5
90,2026-09-13T16:48:24-05:00,1817,2585.6,20685,3092.4,2998.3,3653.6,4227.1,7029.3
91,2026-09-13T16:48:45-05:00,1838,2597.8,20782,3078.0,2998.3,3620.9,4112.4,6617.9
92,2026-09-13T16:49:05-05:00,1858,2579.4,20635,3100.0,3031.0,3686.4,4177.9,8468.3
93,2026-09-13T16:49:26-05:00,1879,2573.8,20591,3106.6,3031.0,3686.4,4292.6,7582.2
94,2026-09-13T16:49:46-05:00,1899,2581.2,20650,3097.7,3031.0,3653.6,4177.9,7614.2
95,2026-09-13T16:50:06-05:00,1919,2585.6,20685,3092.5,2998.3,3653.6,4227.1,7450.6
96,2026-09-13T16:50:27-05:00,1940,2584.8,20678,3093.2,2998.3,3653.6,4177.9,6917.2
97,2026-09-13T16:50:47-05:00,1960,2586.1,20688,3092.0,2998.3,3653.6,4292.6,8509.1
98,2026-09-13T16:51:08-05:00,1981,2598.8,20790,3076.7,2998.3,3620.9,4292.6,7466.2
99,2026-09-13T16:51:28-05:00,2001,2589.9,20720,3087.3,2998.3,3653.6,4112.4,9743.1
100,2026-09-13T16:51:48-05:00,2021,2588.4,20707,3089.1,2998.3,3653.6,4145.2,6982.4
101,2026-09-13T16:52:09-05:00,2042,2600.0,20800,3075.4,2998.3,3620.9,4145.2,7651.6
102,2026-09-13T16:52:29-05:00,2062,2588.0,20704,3089.6,2998.3,3686.4,4358.1,7422.8
103,2026-09-13T16:52:50-05:00,2083,2588.0,20704,3089.6,2998.3,3653.6,4112.4,7914.9
104,2026-09-13T16:53:10-05:00,2103,2576.1,20609,3104.0,3031.0,3653.6,4145.2,6700.6
105,2026-09-13T16:53:31-05:00,2124,2588.6,20708,3088.8,2998.3,3653.6,4145.2,6527.6
106,2026-09-13T16:53:51-05:00,2144,2599.7,20798,3075.5,2998.3,3620.9,4112.4,7240.6
107,2026-09-13T16:54:11-05:00,2164,2595.7,20765,3080.5,2998.3,3653.6,4227.1,7144.5
108,2026-09-13T16:54:32-05:00,2185,2589.5,20716,3087.8,2998.3,3653.6,4292.6,6876.6
109,2026-09-13T16:54:52-05:00,2205,2602.7,20822,3072.1,2998.3,3620.9,4145.2,7002.1
110,2026-09-13T16:55:13-05:00,2226,2589.0,20712,3088.2,2998.3,3620.9,4112.4,9328.9
111,2026-09-13T16:55:33-05:00,2246,2546.4,20371,3140.1,3063.8,3719.2,4227.1,7446.9
112,2026-09-13T16:55:54-05:00,2267,2529.9,20239,3160.6,3063.8,3751.9,4358.1,7351.0
113,2026-09-13T16:56:14-05:00,2287,2522.5,20180,3169.8,3096.6,3784.7,4423.7,7799.2
114,2026-09-13T16:56:34-05:00,2307,2517.3,20138,3176.4,3096.6,3751.9,4358.1,7090.8
115,2026-09-13T16:56:55-05:00,2328,2522.3,20178,3170.1,3096.6,3751.9,4292.6,11891.9
116,2026-09-13T16:57:15-05:00,2348,2535.0,20280,3154.3,3096.6,3719.2,4145.2,9835.0
117,2026-09-13T16:57:36-05:00,2369,2579.2,20633,3100.2,3031.0,3653.6,4112.4,7532.4
118,2026-09-13T16:57:56-05:00,2389,2593.5,20748,3083.1,2998.3,3620.9,4079.6,7248.6
119,2026-09-13T16:58:16-05:00,2409,2589.9,20719,3087.3,2998.3,3653.6,4079.6,6879.0
120,2026-09-13T16:58:37-05:00,2430,2592.2,20737,3084.5,2998.3,3620.9,4046.8,7971.4
121,2026-09-13T16:58:57-05:00,2450,2588.2,20705,3089.3,2998.3,3620.9,4014.1,7109.7
122,2026-09-13T16:59:18-05:00,2471,2597.0,20776,3078.8,2998.3,3620.9,4046.8,6807.8
123,2026-09-13T16:59:38-05:00,2491,2588.6,20709,3088.9,3031.0,3620.9,4046.8,6660.1
124,2026-09-13T16:59:59-05:00,2512,2589.6,20716,3087.8,2998.3,3620.9,4145.2,6534.7
125,2026-09-13T17:00:19-05:00,2532,2587.4,20700,3090.4,3031.0,3620.9,4014.1,7025.8
126,2026-09-13T17:00:39-05:00,2552,2603.3,20826,3071.4,2998.3,3588.1,4014.1,6519.9
127,2026-09-13T17:01:00-05:00,2573,2596.7,20774,3079.2,2998.3,3620.9,4046.8,9801.8
128,2026-09-13T17:01:20-05:00,2593,2602.7,20822,3072.2,2998.3,3620.9,4046.8,6777.8
129,2026-09-13T17:01:41-05:00,2614,2575.0,20600,3105.2,3031.0,3653.6,4145.2,7207.2
130,2026-09-13T17:02:01-05:00,2634,2586.2,20689,3091.8,3031.0,3620.9,4079.6,7223.2
131,2026-09-13T17:02:21-05:00,2654,2585.0,20680,3093.1,2998.3,3653.6,4079.6,9076.7
132,2026-09-13T17:02:42-05:00,2675,2598.2,20786,3077.4,2998.3,3620.9,4014.1,7241.6
133,2026-09-13T17:03:02-05:00,2695,2603.2,20826,3071.5,2998.3,3588.1,3981.3,6993.8
134,2026-09-13T17:03:23-05:00,2716,2598.0,20784,3077.6,2998.3,3620.9,4079.6,6646.5
135,2026-09-13T17:03:43-05:00,2736,2593.9,20751,3082.5,2998.3,3620.9,4177.9,6822.4
136,2026-09-13T17:04:04-05:00,2757,2591.2,20729,3085.9,2998.3,3653.6,4145.2,7062.7
137,2026-09-13T17:04:24-05:00,2777,2594.1,20752,3082.4,2998.3,3620.9,4112.4,7011.2
